right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;refresh_rate;experimenter;input;language;section;gender;age;demo_and_practice;id;simulation
simple:low;;;visual;0;neutral;;high;True;9.353;pitch;;True;neutral;;50;5;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
simple:square;;;visual;0;neutral;;neutral;True;4.76;timbre;;True;neutral;;75;2;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
smooth:light;;;visual;0;pointy;;;False;9.209;lightness;;True;neutral;;50;4;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
smooth:low;;;visual;0;pointy;;high;True;1.931;pitch;;True;neutral;;50;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
simple:light;;;visual;0;neutral;;;False;9.788;lightness;;True;neutral;;75;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
dark:low;;;visual;0;neutral;;high;True;4.004;pitch;;True;neutral;;75;7;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
dark:square;;;visual;0;neutral;;neutral;True;4.094;timbre;;True;neutral;;75;1;rate;auditory;light;lightness;square;0;neutral;;dark:sine;light:square;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
simple:blue;;;visual;0;neutral;;;False;16.104;hue;;True;red;;75;2;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
smooth:blue;;;visual;0;pointy;;;False;13.406;hue;;True;red;;50;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
red:low;;;visual;0;neutral;;high;True;2.668;pitch;;True;blue;;50;1;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
smooth:complex;;;visual;0;pointy;;;False;14.546;complexity;;True;neutral;;75;1;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
sine:low;;;auditory;0;neutral;;high;True;7.546;pitch;;1;neutral;;50;2;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:high;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
red:square;;;visual;0;neutral;;neutral;True;2.019;timbre;;True;blue;;50;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
red:light;;;visual;0;neutral;;;False;8.685;lightness;;True;blue;;50;2;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
smooth:square;;;visual;0;pointy;;neutral;True;3.924;timbre;;True;neutral;;50;2;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
simple:low;;;visual;0;neutral;;high;True;2.74;pitch;;True;neutral;;50;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
simple:square;;;visual;0;neutral;;neutral;True;3.579;timbre;;True;neutral;;50;2;rate;auditory;neutral;complexity;sine;0;simple;;simple:sine;simple:sine;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
smooth:light;;;visual;0;pointy;;;False;10.643;lightness;;True;neutral;;75;6;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
smooth:low;;;visual;0;pointy;;high;True;1.992;pitch;;True;neutral;;75;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
simple:light;;;visual;0;neutral;;;False;13.326;lightness;;True;neutral;;75;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
dark:low;;;visual;0;neutral;;high;True;2.897;pitch;;True;neutral;;75;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
dark:square;;;visual;0;neutral;;neutral;True;4.414;timbre;;True;neutral;;75;1;rate;auditory;dark;lightness;sine;0;neutral;;dark:sine;dark:sine;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
simple:blue;;;visual;0;neutral;;;False;14.127;hue;;True;red;;75;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;100;Hazel;keyboard;dk;rate_CMC;female;24;yes;531;no
